country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_avg
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",20.021503,73.813844,CO,24.0,32.0,27.0,28.00390391797745
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,PM2.5,20.0,53.0,30.0,28.93407605711282
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",23.218135,79.95777,PM2.5,17.0,53.0,31.0,37.21952256705356
India,Delhi,Delhi,"Narela, Delhi - DPCC",28.822836,77.101981,NO2,4.0,23.0,12.0,11.13440148009885
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",25.56752,83.966379,SO2,,,44.0,30.618105915326513
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,PM10,,,2.0,34.25004663100058
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",26.906111,80.948222,NO2,10.0,26.0,16.0,16.81166587411557
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,SO2,,,16.0,16.95881277825202
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",20.9402359,77.7895248,PM10,31.0,84.0,51.0,53.02372947314122
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,CO,4.0,39.0,19.0,21.798495231333845
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB",20.021503,73.813844,NO2,,,49.0,28.040657870852915
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.348441,82.549611,CO,16.0,33.0,26.0,25.733044044792493
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",30.269444,78.044167,PM10,12.0,76.0,40.0,37.49840303994251
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,SO2,8.0,22.0,14.0,12.932135514811987
India,Delhi,Delhi,"Alipur, Delhi - DPCC",28.815329,77.15301,PM10,73.0,163.0,103.0,109.44327782990662
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",23.618183,87.105718,PM10,36.0,73.0,51.0,53.359860371654506
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",25.425602,81.917152,PM2.5,9.0,52.0,31.0,30.59165953267578
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",21.14472,79.107595,NO2,12.0,51.0,28.0,25.544944763569756
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",21.219665,81.630094,OZONE,3.0,12.0,8.0,6.6237946195960875
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",28.88528,78.7388,PM10,30.0,83.0,55.0,51.349962157123926
India,Uttar_Pradesh,Raebareli," Indira Nagar, Raebareli - NTPC Unchahar",26.207781,81.245571,PM2.5,,,8.0,33.93964093014828
India,Delhi,Delhi,"Pusa, Delhi - DPCC",28.639652,77.146275,NO2,10.0,48.0,24.0,24.92609562659562
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",23.55519,74.44001,SO2,6.0,20.0,10.0,12.249811513692705
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,CO,4.0,27.0,14.0,13.159468402211829
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,PM2.5,7.0,38.0,22.0,20.490400422290122
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",21.371751,81.664929,PM10,30.0,137.0,72.0,67.56402113735942
India,Delhi,Delhi,"Pusa, Delhi - IITM",28.63611,77.173332,NO2,17.0,71.0,36.0,39.07537701600085
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",28.52123,76.37138,PM2.5,20.0,58.0,42.0,39.129063095573144
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",28.570173,76.933762,CO,56.0,115.0,60.0,85.25860615236155
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",23.218135,79.95777,NH3,3.0,3.0,3.0,2.9894583333333333
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,OZONE,33.0,43.0,40.0,38.989145259152615
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16.316553,80.413302,CO,14.0,44.0,30.0,24.57456658073609
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,CO,14.0,37.0,23.0,22.94062631301447
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",16.7143745,74.2426398,PM10,,,12.0,24.044644216894213
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",22.410802,73.097923,SO2,3.0,3.0,3.0,2.9900315656565657
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408,OZONE,1.0,12.0,7.0,5.482283306562716
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",17.544899,78.486949,PM2.5,39.0,50.0,44.0,43.83888308831692
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",28.88528,78.7388,NO2,19.0,20.0,20.0,19.51521934193258
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",29.6953,77.0027,SO2,1.0,18.0,6.0,9.901138609928084
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",24.885261,72.857549,PM10,60.0,185.0,97.0,103.94350000000003
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",21.224231,81.40835,PM2.5,,,8.0,28.413276540406322
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,OZONE,16.0,17.0,16.0,17.114087421565365
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",16.7143745,74.2426398,CO,10.0,32.0,18.0,19.780527059928378
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,PM2.5,84.0,255.0,162.0,135.48942719780217
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",26.506177,77.025989,SO2,,,9.0,21.729390389194588
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.486692,80.699436,SO2,15.0,19.0,16.0,16.93102434330375
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",28.5447608,77.3231257,SO2,3.0,5.0,4.0,3.8909564602064624
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",22.6025571,88.3105664,PM2.5,1.0,93.0,38.0,25.996555834688188
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB",19.710842,77.151824,PM2.5,2.0,38.0,19.0,18.24671402029344
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,CO,20.0,77.0,35.0,41.984572301623395
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,CO,20.0,50.0,34.0,31.867008343823368
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",20.24079,85.836784,CO,54.0,88.0,73.0,66.26895117709086
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708,CO,10.0,36.0,35.0,22.474104922640144
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",23.107969,72.574648,CO,40.0,86.0,55.0,57.87108168383904
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",15.888653,74.541751,SO2,44.0,59.0,53.0,50.531776752787984
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",29.6953,77.0027,OZONE,5.0,60.0,45.0,38.26821909218233
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.699793,77.165453,SO2,7.0,15.0,12.0,11.019729047912874
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",21.001264,75.565602,NH3,1.0,14.0,5.0,7.370647994978875
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,SO2,5.0,117.0,71.0,39.239842974019446
India,Uttar_Pradesh,Ghaziabad,"Govindpuram, Ghaziabad - UPPCB",28.694528,77.494705,SO2,6.0,102.0,24.0,35.83002585009589
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356,CO,10.0,82.0,34.0,34.573899138872825
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,NH3,,,27.0,23.409360845380967
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,PM10,56.0,68.0,63.0,60.83499506887162
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",19.309073,73.057223,CO,14.0,36.0,24.0,22.539374496332695
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",31.0325454,76.5623046,PM2.5,8.0,395.0,119.0,105.8659624680875
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",15.411456,75.638133,SO2,35.0,46.0,38.0,39.56704082518788
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",19.047,72.8746,OZONE,29.0,32.0,30.0,31.468944919459613
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,NH3,5.0,8.0,6.0,6.502370627738274
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056,SO2,,,26.0,19.643307549476667
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",15.411456,75.638133,PM10,27.0,63.0,41.0,39.866228719809605
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,CO,1.0,26.0,15.0,10.889764102082985
India,Haryana,Jind,"Police Lines, Jind - HSPCB",29.307814,76.337619,PM10,,,50.0,34.98713560948856
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,PM10,,,50.0,32.05340448629457
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,PM10,47.0,105.0,70.0,72.0675411843059
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,SO2,7.0,16.0,11.0,11.707111845670667
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",26.253384,72.976571,PM10,,,81.0,23.371752757476443
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",22.220833,84.809444,CO,22.0,106.0,49.0,52.56783459952499
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",22.220833,84.809444,NH3,1.0,2.0,1.0,1.366310984766867
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213,PM10,55.0,234.0,90.0,105.58974840437344
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",16.316553,80.413302,SO2,10.0,13.0,11.0,11.49341274003774
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531,PM2.5,12.0,68.0,46.0,35.80214369127606
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",22.320153,73.216285,PM2.5,17.0,205.0,77.0,74.27392385800476
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",23.567923,87.306843,PM2.5,15.0,91.0,42.0,44.75065445016801
India,Maharashtra,Pune,"Dhankawadi, Pune - IITM",18.459883,73.852193,PM2.5,8.0,37.0,21.0,21.51801042670779
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",28.52123,76.37138,CO,10.0,40.0,31.0,23.496325717583062
India,Gujarat,Surat,"Science Center, Surat - SMC",21.170046,72.795405,SO2,14.0,16.0,15.0,15.332191587823939
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",28.54246,77.191651,OZONE,14.0,73.0,49.0,52.6916378001084
India,Delhi,Delhi,"Narela, Delhi - DPCC",28.822836,77.101981,OZONE,3.0,20.0,14.0,12.293985736485737
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131,OZONE,2.0,29.0,11.0,16.31410827227468
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,CO,4.0,56.0,16.0,29.687395755732055
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,PM2.5,,,3.0,33.57841731345822
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,OZONE,4.0,31.0,24.0,19.706123220046205
